9;8;10;0.263;0.010;14.20;
9;9;18;0.252;0.006;16.57;
10;0;30;0.275;0.003;19.16;
10;1;42;0.255;0.002;20.29;
10;2;49;0.253;0.002;20.93;
10;3;50;0.258;0.002;21.11;
10;4;42;0.254;0.002;20.28;
10;5;30;0.252;0.003;18.79;
10;6;18;0.197;0.006;15.50;
10;7;11;0.360;0.009;15.97;
10;8;10;0.339;0.010;15.30;
10;9;18;0.256;0.006;16.64;
11;0;30;0.273;0.003;19.13;
11;1;42;0.254;0.002;20.28;
11;2;49;0.252;0.002;20.92;
11;3;50;0.258;0.002;21.11;
11;4;42;0.254;0.002;20.28;
11;5;30;0.252;0.003;18.79;
11;6;18;0.202;0.006;15.60;
11;7;11;0.357;0.009;15.94;
11;8;10;0.335;0.010;15.25;
11;9;18;0.256;0.006;16.63;
12;0;30;0.274;0.003;19.15;
12;1;42;0.253;0.002;20.26;
12;2;49;0.254;0.002;20.94;
12;3;50;0.259;0.002;21.11;
12;4;42;0.252;0.002;20.24;
12;5;30;0.264;0.003;18.99;
12;6;18;0.283;0.006;17.07;
12;7;11;0.396;0.009;16.39;
12;8;10;0.259;0.010;14.14;
12;9;18;0.250;0.006;16.53;
13;0;30;0.272;0.003;19.12;
13;1;42;0.255;0.002;20.29;
13;2;49;0.254;0.002;20.95;
13;3;50;0.258;0.002;21.11;
13;4;42;0.253;0.002;20.26;
13;5;30;0.246;0.003;18.68;
13;6;18;0.206;0.006;15.70;
13;7;11;0.404;0.009;16.47;
13;8;10;0.291;0.010;14.63;
13;9;18;0.263;0.006;16.74;
14;0;30;0.272;0.003;19.12;
14;1;42;0.255;0.002;20.30;
14;2;49;0.254;0.002;20.95;
14;3;50;0.258;0.002;21.10;
14;4;42;0.253;0.002;20.26;
14;5;30;0.258;0.003;18.89;
14;6;18;0.284;0.006;17.08;
14;7;11;0.394;0.009;16.37;
14;8;10;0.257;0.010;14.09;
14;9;18;0.249;0.006;16.52;
15;0;30;0.273;0.003;19.14;
15;1;42;0.254;0.002;20.29;
15;2;49;0.253;0.002;20.94;
15;3;50;0.258;0.002;21.10;
15;4;42;0.253;0.002;20.26;
15;5;30;0.256;0.003;18.86;
15;6;18;0.287;0.006;17.13;
15;7;11;0.394;0.009;16.37;
15;8;10;0.262;0.010;14.19;
15;9;18;0.247;0.006;16.48;
16;0;30;0.273;0.003;19.13;
16;1;42;0.253;0.002;20.27;
16;2;49;0.254;0.002;20.96;
16;3;50;0.258;0.002;21.10;
16;4;42;0.253;0.002;20.27;
16;5;30;0.289;0.003;19.39;
16;6;18;0.328;0.006;17.72;
16;7;11;0.328;0.009;15.57;
16;8;10;0.262;0.010;14.18;
16;9;18;0.224;0.006;16.05;
17;0;30;0.273;0.003;19.13;
17;1;42;0.252;0.002;20.24;
17;2;49;0.254;0.002;20.95;
17;3;50;0.257;0.002;21.09;
17;4;42;0.253;0.002;20.26;
17;5;30;0.289;0.003;19.38;
17;6;18;0.329;0.006;17.73;
17;7;11;0.331;0.009;15.61;
17;8;10;0.257;0.010;14.11;
17;9;18;0.223;0.006;16.04;
18;0;30;0.270;0.003;19.09;
18;1;42;0.253;0.002;20.27;
18;2;49;0.253;0.002;20.93;
18;3;50;0.258;0.002;21.10;
18;4;42;0.253;0.002;20.26;
18;5;30;0.257;0.003;18.86;
18;6;18;0.287;0.006;17.13;
18;7;11;0.384;0.009;16.25;
18;8;10;0.263;0.010;14.20;
18;9;18;0.244;0.006;16.44;
19;0;30;0.269;0.003;19.06;
19;1;42;0.253;0.002;20.26;
19;2;49;0.253;0.002;20.93;
19;3;50;0.258;0.002;21.11;
19;4;42;0.254;0.002;20.27;
19;5;30;0.264;0.003;18.99;
19;6;18;0.314;0.006;17.52;
19;7;11;0.356;0.009;15.93;
19;8;10;0.262;0.010;14.18;
19;9;18;0.234;0.006;16.24;
20;0;30;0.266;0.003;19.02;
20;1;42;0.254;0.002;20.29;
20;2;49;0.253;0.002;20.94;
20;3;50;0.258;0.002;21.10;
20;4;42;0.254;0.002;20.28;
20;5;30;0.291;0.003;19.41;
20;6;18;0.355;0.006;18.06;
20;7;11;0.289;0.009;15.02;
20;8;10;0.256;0.010;14.09;
20;9;18;0.219;0.006;15.95;
21;0;30;0.265;0.003;19.01;
21;1;42;0.254;0.002;20.28;
21;2;49;0.255;0.002;20.97;
