lev0 , cycle ,0, countPeriod ,7, count ,1,2
lev0 , cycle ,0, countPeriod ,7, count ,2,2
lev0 , cycle ,0, countPeriod ,7, count ,3,3
lev0 , cycle ,0, countPeriod ,7, count ,4,3
lev0 , cycle ,0, countPeriod ,7, count ,5,2
lev0 , cycle ,0, countPeriod ,7, count ,6,2
lev0 , cycle ,0, countPeriod ,7, count ,7,2
lev0 , cycle ,0, countPeriod ,7, count ,8,2
lev0 , cycle ,0, countPeriod ,7, count ,9,3
lev0 , cycle ,0, countPeriod ,7, count ,10,2
lev0 , cycle ,0, countPeriod ,8, count ,0,12
lev0 , cycle ,0, countPeriod ,8, count ,1,2
lev0 , cycle ,0, countPeriod ,8, count ,2,2
lev0 , cycle ,0, countPeriod ,8, count ,3,2
lev0 , cycle ,0, countPeriod ,8, count ,4,2
lev0 , cycle ,0, countPeriod ,8, count ,5,2
lev0 , cycle ,0, countPeriod ,8, count ,6,2
lev0 , cycle ,0, countPeriod ,8, count ,7,2
lev0 , cycle ,0, countPeriod ,8, count ,8,2
lev0 , cycle ,0, countPeriod ,8, count ,9,2
lev0 , cycle ,0, countPeriod ,9, count ,0,2
lev0 , cycle ,0, countPeriod ,9, count ,1,2
lev0 , cycle ,0, countPeriod ,9, count ,2,3
lev0 , cycle ,0, countPeriod ,9, count ,3,2
lev0 , cycle ,0, countPeriod ,9, count ,4,3
lev0 , cycle ,0, countPeriod ,9, count ,5,3
lev0 , cycle ,0, countPeriod ,9, count ,6,2
lev0 , cycle ,0, countPeriod ,9, count ,7,2
lev0 , cycle ,0, countPeriod ,9, count ,8,2
lev0 , cycle ,0, countPeriod ,9, count ,9,2
lev0 , cycle ,0, countPeriod ,9, count ,10,2
lev0 , cycle ,0, countPeriod ,9, count ,11,3
lev0 , cycle ,0, countPeriod ,9, count ,12,3
lev0 , cycle ,0, countPeriod ,9, count ,13,2
lev0 , cycle ,0, countPeriod ,9, count ,14,2
lev0 , cycle ,0, countPeriod ,9, count ,15,2
lev0 , cycle ,0, countPeriod ,9, count ,16,2
lev0 , cycle ,0, countPeriod ,9, count ,17,2
lev0 , cycle ,1, countPeriod ,0, count ,0,2
lev0 , cycle ,1, countPeriod ,0, count ,1,2
lev0 , cycle ,1, countPeriod ,0, count ,2,3
lev0 , cycle ,1, countPeriod ,0, count ,3,2
lev0 , cycle ,1, countPeriod ,0, count ,4,3
lev0 , cycle ,1, countPeriod ,0, count ,5,2
lev0 , cycle ,1, countPeriod ,0, count ,6,2
lev0 , cycle ,1, countPeriod ,0, count ,7,2
lev0 , cycle ,1, countPeriod ,0, count ,8,3
lev0 , cycle ,1, countPeriod ,0, count ,9,2
lev0 , cycle ,1, countPeriod ,0, count ,10,2
lev0 , cycle ,1, countPeriod ,0, count ,11,2
lev0 , cycle ,1, countPeriod ,0, count ,12,2
lev0 , cycle ,1, countPeriod ,0, count ,13,2
lev0 , cycle ,1, countPeriod ,0, count ,14,2
lev0 , cycle ,1, countPeriod ,0, count ,15,2
lev0 , cycle ,1, countPeriod ,0, count ,16,2
lev0 , cycle ,1, countPeriod ,0, count ,17,2
lev0 , cycle ,1, countPeriod ,0, count ,18,2
lev0 , cycle ,1, countPeriod ,0, count ,19,2
lev0 , cycle ,1, countPeriod ,0, count ,20,2
lev0 , cycle ,1, countPeriod ,0, count ,21,3
lev0 , cycle ,1, countPeriod ,0, count ,22,2
lev0 , cycle ,1, countPeriod ,0, count ,23,2
lev0 , cycle ,1, countPeriod ,0, count ,24,2
lev0 , cycle ,1, countPeriod ,0, count ,25,2
lev0 , cycle ,1, countPeriod ,0, count ,26,1
lev0 , cycle ,1, countPeriod ,0, count ,27,2
lev0 , cycle ,1, countPeriod ,0, count ,28,2
lev0 , cycle ,1, countPeriod ,0, count ,29,2
lev0 , cycle ,1, countPeriod ,1, count ,0,3
lev0 , cycle ,1, countPeriod ,1, count ,1,2
lev0 , cycle ,1, countPeriod ,1, count ,2,3
lev0 , cycle ,1, countPeriod ,1, count ,3,3
