 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 8 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 417 ; mrt ; 6.201360549737575
 lev1 ; cycle ; 2 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 311 ; mrt ; 4.927603890268375
 lev1 ; cycle ; 6 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 363 ; mrt ; 5.599066250361125
 lev1 ; cycle ; 9 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 388 ; mrt ; 5.888317255942073
 lev1 ; cycle ; 4 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 328 ; mrt ; 5.158738437116791
 lev1 ; cycle ; 0 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 318 ; mrt ; 5.024271199844327
 lev1 ; cycle ; 7 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 348 ; mrt ; 5.415792439465809
 lev1 ; cycle ; 3 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 282 ; mrt ; 4.50249108319361
 lev1 ; cycle ; 5 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 293 ; mrt ; 4.668676203541095
 lev1 ; cycle ; 1 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 352 ; mrt ; 5.465426634781311
 lev1 ; cycle ; 6 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 288 ; mrt ; 4.5939248775923085
 lev1 ; cycle ; 8 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 330 ; mrt ; 5.185139398778874
 lev1 ; cycle ; 2 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 300 ; mrt ; 4.771212547196624
 lev1 ; cycle ; 4 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 289 ; mrt ; 4.608978427565479
 lev1 ; cycle ; 9 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 292 ; mrt ; 4.653828514484183
 lev1 ; cycle ; 7 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 240 ; mrt ; 3.80211241711606
 lev1 ; cycle ; 5 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 216 ; mrt ; 3.344537511509309
 lev1 ; cycle ; 3 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 256 ; mrt ; 4.082399653118496
 lev1 ; cycle ; 6 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 205 ; mrt ; 3.1175386105575424
 lev1 ; cycle ; 8 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 208 ; mrt ; 3.1806333496276156
